,Health Facility Name,Address,Landmark,Locality,Pincode,latitude,longitude,Facility Type,State_Name,\N,Taluka_Name,Block_Name
37,Maalgaon,sub center malgaon,,village-maalgaon,415011.0,17.8117,74.0389,SubCentre,Maharashtra,Satara,Satara,Satara
38,Palashi,M-432,,Palashi,415011.0,17.821,74.1155,Primary Health Centre,Maharashtra,Satara,Koregaon,Koregaon
39,Ninam,sub center ninam,,village-ninam,415519.0,17.5747,74.0005,SubCentre,Maharashtra,Satara,Satara,Satara
40,Kadhane,,,Kadhane,415103.0,17.251433,74.034888,SubCentre,Maharashtra,Satara,Patan,Patan
41,Shendurjane,576,,Shendurjane,412803.0,17.957118,73.926816,SubCentre,Maharashtra,Satara,Wai,Wai
42,Helgaon,,,Helgaon,415106.0,17.4569,74.1645,Primary Health Centre,Maharashtra,Satara,Karad,Karad
43,Malawadi,\N,,Malawadi,415508.0,18.1643,74.0975,Primary Health Centre,Maharashtra,Satara,Man,Man
44,Padloshi,,,Padloshi,415520.0,17.430982,73.951381,SubCentre,Maharashtra,Satara,Patan,Patan
45,Rajale,250,,Rajale,415523.0,18.023448,74.535837,Primary Health Centre,Maharashtra,Satara,Phaltan,Phaltan
46,Chore,,,Chore,415109.0,17.4462,74.035,SubCentre,Maharashtra,Satara,Karad,Karad
47,Giravi,858,,,415523.0,17.885477,74.453782,Primary Health Centre,Maharashtra,Satara,Phaltan,Phaltan
48,Nagthane,phc nagthane,,village-nagthane,415519.0,17.5669,74.0498,Primary Health Centre,Maharashtra,Satara,Satara,Satara
49,Mahind,\N,,Mahind,415112.0,17.282314,73.898235,SubCentre,Maharashtra,Satara,Patan,Patan
50,Dudhagaon,15,pratapgad Road,Subcenter Dudhgaon,412806.0,17.8604,73.6434,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
51,Mhate Bk,189,Near By ZP School,Mhate Bk.,415012.0,17.8138,73.7918,SubCentre,Maharashtra,Satara,Jaoli,Jaoli
52,Karanje Tarf parali,sub center karanje,,village-karanje t. parali,415013.0,17.6695,73.9213,SubCentre,Maharashtra,Satara,Satara,Satara
